Intel Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Graphics 770 Desktop Processor - BX8071512700K
$384.99 –
Intel Core i7-10700F - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Desktop Processor - BX8070110700F
$233.99 –
Intel Core i7-5930K - Core i7 5th Gen Haswell-E 6-Core 3.5 GHz LGA 2011-v3 140W Desktop Processor - BX80648I75930K
$550.00 –
Intel Core i7-11700K - Core i7 11th Gen Rocket Lake 8-Core 3.6 GHz LGA 1200 125W Intel UHD Graphics 750 Desktop Processor - BX8070811700K
$319.99 –
ASUS ROG Maximus Z690 Hero (WiFi 6E) LGA 1700 Intel 12th Gen ATX Gaming Motherboard- PCIe 5.0 DDR5 20+1 90A Power Stages 2.5Gb LAN Bluetooth V5.2 2x Thunderbolt 4 ports 5xM.2/NVMe SSD and Intel Core i7-12700K - Core i7 12th Gen Alder Lake 1
$934.98 –
ASUS ROG Strix Z690-A Gaming WiFi D4 LGA 1700 Intel 12th Gen ATX Gaming Motherboard- PCIe 5.0 DDR4 16+1 Power Stages WiFi 6 Intel 2.5 Gb LAN Bluetooth v5.2 Thunderbolt 4 4xM.2/NVMe SSD and Intel Core i7-12700K - Core i7 12th Gen Alder Lake
$684.98 –
GIGABYTE Z690 AORUS ELITE AX LGA 1700 Intel Z690 ATX Motherboard with DDR5 Quad M.2 PCIe 5.0 USB 3.2 Gen 2X2 Type-C WiFi 6 2.5GbE LAN and Intel Core i7-12700K - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Intel UHD Gra
$604.98 –
Intel Core i7-12700F - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Desktop Processor - BX8071512700F
$312.96 –
Intel Core i7-11700KF - Core i7 11th Gen Rocket Lake 8-Core 3.6 GHz LGA 1200 125W Desktop Processor - BX8070811700KF
$315.99 –
Intel Core i7-11700F - Core i7 11th Gen Rocket Lake 8-Core 2.5 GHz LGA 1200 65W Desktop Processor - BX8070811700F
$299.94 –
DYHEOO CPU Cooler 90mm,12V(60W) RGB CPU Air Cooler,3pin Aluminum CPU Fan Quiet Radiator for Intel LGA 115X 1151 1200 AMD AM3 AM4 FM2
$12.99 –
GOLDEN FIELD STARS-240 Black AlO Water Cooler CPU 240mm Liquid Cooler Aura SYNC ARGB Radiator for Intel LGA 20XX/115X/1200 AMD AM4 (S240-B, Black)
$83.89 –
GOLDEN FIELD STARS-240 Pink All in one Water Cooler CPU 240mm Liquid Cooler Aura SYNC ARGB Radiator for Intel LGA 20XX/115X/1200 AMD AM4/AM3+/AM3 (S240-P, Pink)
$85.99 –
Intel Core i7-10700KF - Core i7 10th Gen Comet Lake 8-Core 3.8 GHz LGA 1200 125W Desktop Processor - BX8070110700KF
$309.95 –
Intel Core i7-10700 - Core i7 10th Gen Comet Lake 8-Core 2.9 GHz LGA 1200 65W Intel UHD Graphics 630 Desktop Processor - BX8070110700
$317.99 –
Intel Core i7 10th Gen - Core i7-10700K Comet Lake 8-Core 3.8 GHz LGA 1200 125W Desktop Processor w/ Intel UHD Graphics 630
$329.98 –
Intel Core i7-12700KF - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 3.6 GHz LGA 1700 125W Desktop Processor - BX8071512700KF
$364.99 –
Intel Core i7-12700 - Core i7 12th Gen Alder Lake 12-Core (8P+4E) 2.1 GHz LGA 1700 65W Intel UHD Graphics 770 Desktop Processor - BX8071512700
$349.99 –
Intel Core i7-11700 - Core i7 11th Gen Rocket Lake 8-Core 2.5 GHz LGA 1200 65W Intel UHD Graphics 750 Desktop Processor - BX8070811700
$323.98 –
Intel Core i7 8th Gen - Core i7-8700K Coffee Lake 6-Core 3.7 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I78700K Desktop Processor Intel UHD Graphics 630
$337.00 –
Intel Core i7 11th Gen i7-11700KF Rocket Lake 8-Core 3.6 GHz LGA 1200 125W CM8070804488630 Desktop Processor (ABS Only)
$340.76 –
Intel Core i7-3770K - Core i7 3rd Gen Ivy Bridge Quad-Core 3.5GHz (3.9GHz Turbo) LGA 1155 77W Intel HD Graphics 4000 Desktop Processor - BX80637I73770K
$194.00 
Intel Core i7-9700K - Core i7 9th Gen Coffee Lake 8-Core 3.6 GHz LGA 1151 (300 Series) 95W Intel HD Graphics 630 Desktop Processor - CM8068403874212
$400.99 –
Intel Core i7 9th Gen - Core i7-9700K Coffee Lake 8-Core 3.6 GHz (4.9 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I79700K Desktop Processor Intel UHD Graphics 630
$380.99 –
Intel Core i7 9th Gen - Core i7-9700 Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I79700 Desktop Processor Intel UHD Graphics 630
$311.00 –
Intel Core i7 7th Gen - Core i7-7700 Kaby Lake Quad-Core 3.6 GHz LGA 1151 65W BX80677I77700 Desktop Processor
$368.59 –
Intel Core i7-4790K - Core i7 4th Gen Devil's Canyon Quad-Core 4.0 GHz LGA 1150 88W Intel HD Graphics 4600 Desktop Processor - BX80646I74790K
$189.99 
Intel Core i7-4790 - Core i7 4th Gen Haswell Quad-Core 3.6 GHz LGA 1150 84W Intel HD Graphics 4600 Desktop Processor - BX80646I74790
$182.99 
Intel Core i7-2600K - Core i7 2nd Gen Sandy Bridge Quad-Core 3.4GHz (3.8GHz Turbo Boost) LGA 1155 95W Intel HD Graphics 3000 Desktop Processor - BX80623I72600K
$126.00 
Intel Core i7-2600 - Core i7 2nd Gen Sandy Bridge Quad-Core 3.4GHz (3.8GHz Turbo Boost) LGA 1155 95W Intel HD Graphics 2000 Desktop Processor - BX80623I72600
$119.19 
Intel Core i7 6th Gen - Core i7-6700K 8M Skylake Quad-Core 4.0 GHz LGA 1151 91W BX80662I76700K Desktop Processor Intel HD Graphics 530
$393.77 –
Intel Core i7 6th Gen - Core i7-6700 Skylake Quad-Core 3.4 GHz LGA 1151 65W BX80662I76700 Desktop Processor
$342.49 –
Intel Core i7 8th Gen - Core i7-8700 Coffee Lake 6-Core 3.2 GHz (4.6 GHz Turbo) LGA 1151 (300 Series) 65W CM8068403358316 Desktop Processor Intel UHD Graphics 630
$299.99 –
Intel Core i7-4770 - Core i7 4th Gen Haswell Quad-Core 3.4 GHz LGA 1150 84W Intel HD Graphics Desktop Processor - BX80646I74770
$181.99 
Intel Core i7 7th Gen - Core i7-7700K Kaby Lake Quad-Core 4.2 GHz LGA 1151 91W BX80677I77700K Desktop Processor
$479.50 –
Intel Core i7-3770 - Core i7 3rd Gen Ivy Bridge Quad-Core 3.4GHz (3.9GHz Turbo) LGA 1155 77W Intel HD Graphics 4000 Desktop Processor - BX80637I73770
$171.00 
Intel Core i7-4790K  - Core i7 4th Gen Devil's Canyon Quad-Core 4.0 GHz LGA 1150 88W Intel HD Graphics 4600 Desktop Processor - BXF80646I74790K

Intel Core i7 i7-4790K Quad-core (4 Core) 4 GHz Processor - Socket H3 LGA-1150 Pack CM8064601710501
$197.99 
Intel Core i7-5960X - Core i7 4th Gen Haswell-E 8-Core 3.0 GHz LGA 2011-v3 140W Desktop Processor - BX80648I75960X

Intel Core i7 9th Gen - Core i7-9700F Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i79700F Desktop Processor Without Graphics
$348.00 –
