GIGABYTE Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TGAMING OC-8GD
$849.99 
GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070AORUS M-8GD (rev. 2.0) (LHR)
$859.99 
MSI Ventus 3X GeForce RTX 3070 Ti OC Graphics Card 8GB GDDR6X PCI Express 4.0 x16 TORX Fan 3.0 Ampere Architecture DLSS AI Acceleration 1x HDMI 2.1 3x DisplayPort 1.4a w/ HDMI Cable
$959.00 –
MSI Ventus 3X GeForce RTX 3070 Ti OC Graphics Card 8GB GDDR6X PCIe 4.0 TORX Fan 3.0 Ampere Architecture DLSS AI Acceleration 1x HDMI 2.1 3x DisplayPort 1.4a w/ HDMI 2.1 Cable(4k@120Hz/8K@60Hz)
$959.00 –
Gigabyte GeForce RTX 3070 Ti Eagle OC Graphics Card, 8GB GDDR6X PCI Express 4.0, WINDFORCE 3X Cooling, RGB Fusion 2.0, 2x HDMI 2.1, 2x DisplayPort 1.4a, w/ HDMI Cable
$989.99 –
Gigabyte GeForce RTX 3070 Ti Eagle OC Graphics Card, 8GB GDDR6X PCI Express 4.0, WINDFORCE 3X Cooling, RGB Fusion 2.0, 2x HDMI 2.1, 2x DisplayPort 1.4a, w/ HDMI 2.1 Cable(4k@120Hz/8K@60Hz)
$989.99 –
MSI Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Gaming X Trio 8G
$819.99 
MSI Suprim GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 Video Card RTX 3070 Ti SUPRIM X 8G
$979.70 –
GIGABYTE Vision GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TVISION OC-8GD
$899.99 
EVGA GeForce RTX 3070 Ti FTW3 ULTRA GAMING Video Card, 08G-P5-3797-KL, 8GB GDDR6X, iCX3 Technology, ARGB LED, Metal Backplate
$911.88 
GIGABYTE GeForce RTX 3070 Ti Gaming OC Graphics Card, 8GB 256-bit GDDR6X PCIe 4.0, WINDFORCE 3X Cooling System, 2 x HDMI 2.1, 2 x Displayport 1.4a, w/ HDMI 2.1 Cable(4k@120Hz/8K@60Hz)
$970.00 –
GIGABYTE GeForce RTX 3070 Ti Gaming OC Graphics Card, 8GB 256-bit GDDR6X PCIe 4.0, WINDFORCE 3X Cooling System, 2 x HDMI 2.1, 2 x Displayport 1.4a, w/ HDMI Cable
$970.00 –
GIGABYTE AORUS GeForce RTX 3070 MASTER 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070AORUS M-8GD (rev. 2.0) (LHR)
$885.60 –
GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TAORUS M-8GD
$1,100.00 –
ASUS TUF Gaming GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card TUF-RTX3070TI-O8G-GAMING
$918.00 
MSI Gaming GeForce RTX 3070 Ti Video Card RTX 3070 Ti Gaming X Trio 8G and MSI MPG ARTYMIS 273CQR 27" 2560 x 1440 2K QHD 165Hz DisplayPort HDMI USB Type-C FreeSync Premium VESA Tilt Swivel Height Adjust Curved Gaming Monitor
$1,104.98 –
MSI Gaming GeForce RTX 3070 Ti Video Card RTX 3070 Ti Gaming X Trio 8G and MSI MAG ARTYMIS 274CP 27" Full HD 1920 x 1080 165 Hz HDMI DisplayPort USB Audio FreeSync Premium (AMD Adaptive Sync) Curved Gaming Monitor
$1,084.98 –
GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TAORUS M-8GD
$899.99 
GIGABYTE AORUS GeForce RTX 3070 Ti Video Card GV-N307TAORUS M-8GD and GIGABYTE G27QC A 27" 165Hz 2560 x 1440 1ms (MPRT) 88% DCI-P3 HDR Ready FreeSync Premium 1 x Display Port 1.2 2 x HDMI 2.0 2 x USB 3.0 Curved Gaming Monitor
$1,169.98 –
ASUS TUF Gaming GeForce RTX 3070 V2 OC Edition 8GB GDDR6 PCI Express 4.0 Video Card TUF-RTX3070-O8G-V2-GAMING (LHR)
$912.97 
ASUS ROG Strix GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card ROG-STRIX-RTX3070TI-O8G-GAMING
$999.99 –
EVGA GeForce RTX 3070 FTW3 ULTRA GAMING Video Card, 08G-P5-3767-KL, 8GB GDDR6, iCX3 Technology, ARGB LED, Metal Backplate, LHR
$969.99 –
EVGA GeForce RTX 3070 Ti XC3 ULTRA GAMING Video Card, 08G-P5-3785-KL, 8GB GDDR6X, iCX3 Cooling, ARGB LED, Metal Backplate
$826.15 
MSI Gaming GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 Video Card 3070 GAMING Z TRIO 8G LHR
$984.55 
GIGABYTE Eagle GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card GV-N307TEAGLE OC-8GD
$876.98 
MSI Ventus GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 Video Card RTX 3070 Ti Ventus 3X 8G OC
$944.11 
MSI Suprim GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 Video Card RTX 3070 Suprim X 8G LHR
$1,026.49 –
ZOTAC GAMING GeForce RTX 3070 Ti Trinity OC 8GB GDDR6X 256-bit 19 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-A30710J-10P
$1,013.43 –
NVIDIA FOUNDERS EDITION GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0
$1,069.99 –
Colorful AXE GeForce RTX 3070 8G V2 LHR
$978.00 –
ASUS GeForce RTX 3070 OC 8GB GDDR6 DUAL-RTX3070-O8G Video Graphic Card GPU
$879.99 –
GIGABYTE GeForce RTX 3070 Ti Gaming OC 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 256-bit GDDR6X, GV-N307TGAMING OC-8GD Video Card
$946.99 
ASUS ROG Strix GeForce RTX 3070 V2 OC Edition 8GB GDDR6 PCI Express 4.0 Video Card ROG-STRIX-RTX3070-O8G-V2-GAMING (LHR)
$1,027.37 –
GIGABYTE Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0) (LHR)
$729.99 
ASUS ROG Strix GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 x16 Video Card ROG-STRIX-RTX3070-O8G-WHITE-V2
$1,046.65 –
ZOTAC AMP Extreme Holo GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 ATX Video Card ZT-A30710B-10P
$919.99 –
GIGABYTE AORUS GeForce RTX 3070 Ti 8GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N307TAORUS M-8GD
$1,008.92 –
